text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,label

b'Government fears working from home is hitting UK economy hard',2020-10-24 09:04:11,,en,,,2,493,"The campaign to lead the UK out of the Covid19 crisis into a positive future through a rational, balanced response rather than panic-driven policies.",United Kingdom,1304013066934333440,2020-09-10 11:05:33,False,False,https://restorethebalance.info/,0,41,False,,102,True,Business for Balance,,Biz4Balance,False,F5F8FA,http://pbs.twimg.com/profile_images/1305138491827916800/J7h-Tw8Z_normal.jpg,,1319927660114563072,0,False,Twitter for Android,False,0,economy

b'Focus group reveals voters are fed up of Covid 19 lockdown measures via',2020-10-24 09:04:15,,en,,,128229,96932,"free speech absolutist, searching for truth, retweeting....",,1109532876310302721,2019-03-23 19:10:26,False,False,,1,2587,False,,3579,True,conspiracyguy,,donkamion78,False,F5F8FA,http://pbs.twimg.com/profile_images/1260613439602470913/KuuB2w5b_normal.jpg,,1319927675012730880,0,False,Twitter Web App,False,0,economy

b'Burrell Renaissance Project Capital Theatres Kings Theatre Festival Theatre The Studio and V amp ADundee all to',2020-10-24 09:04:15,,en,,,4094,15050,"Cabinet Secretary for Economy,Fair Work and Culture  in the Scottish Government and SNP MSP for the Linlithgow Constituency in the Scottish Parliament",Edinburgh,240182448,2011-01-19 10:18:28,True,False,http://www.FionaHyslop.com/,376,29199,False,,639,False,Fiona Hyslop,,FionaHyslop,False,131516,http://pbs.twimg.com/profile_images/666751012921847809/LwybjYa2_normal.jpg,,1319927675037908992,0,False,Twitter for iPad,False,0,economy

b'Yesterday the US reported the most cases ever as the 3rd surge spikes How many more records will we set before',2020-10-24 09:04:16,,en,,,6286,11847,Prof. @BlavatnikSchool @StAntsCollege @UniofOxford How can we solve global problems effectively & fairly? Now out: Beyond Gridlock https://tinyurl.com/y7oulah2,,257516506,2011-02-25 15:59:10,False,False,https://www.bsg.ox.ac.uk/people/thomas-hale,122,4755,False,,1763,True,Thomas Hale,,thomasnhale,True,C0DEED,http://pbs.twimg.com/profile_images/645673613169983488/HHCxU2v__normal.jpg,,1319927678280044544,0,False,Twitter Web App,False,0,economy

b'And yet trump had the better economy',2020-10-24 09:04:23,,en,,,4722,6003,"""I'd rather die on my feet than live on my knees"" - Zapata
Childrens Lives Matter - Blue Lives Matter - All Lives Matter
Parler: justlooking333",,1967259158,2013-10-17 17:22:40,False,False,,4,364,False,,499,True,John �Hannibal� Smith,,Just_looking_10,False,C0DEED,http://pbs.twimg.com/profile_images/1276131900113817600/M89a-HCB_normal.jpg,,1319927708835479552,0,False,Twitter Web App,False,0,economy

b'I wish to invite all our friends and partners in the Kyrgyz Republic to join us at this online orchestral performan',2020-10-24 09:04:24,,en,,,16262,10550,UN Resident Coordinator and Representative of the UN Secretary General in the Kyrgyz Republic. All tweets in personal capacity. Retweets not endorsement.,Kyrgyzstan,44873703,2009-06-05 11:40:44,True,False,https://kyrgyzstan.un.org/,106,3050,False,,824,True,Ozonnia Ojielo,,ozonnia,True,C0DEED,http://pbs.twimg.com/profile_images/1260883221643960320/zsd66Otk_normal.jpg,,1319927711176024064,0,False,Twitter for iPhone,False,0,economy

b'Council fast forward Tier 3 restrictions due to concerns over high COVID 19 infection rate',2020-10-24 09:04:25,,en,,,58,12114,"creative, industry and services, all made in WArrington | #madeInWArrington #WAmade #madeInWA | @WA_creativeGrp @WA_Creative @WA_Digital @WA_Space @WAc_Jobs","Warrington, Cheshire, UK",2192388660,2013-11-13 14:21:56,False,False,http://www.madeinwarrington.com/,29,1106,False,,270,True,made in WArrington,,WA_made,False,C0DEED,http://pbs.twimg.com/profile_images/378800000735263822/9d9d515c5e928788953bbcc9244513b5_normal.png,,1319927715521351681,0,False,IFTTT,False,0,economy

b'And then some',2020-10-24 09:04:26,,en,,,39644,10757,"Freedom loving PA Patriot fighting for #EqualJusticeUnderLaw 

#DarkToLight #MAGA #FourMoreYears #Protect2A 
#Molonlabe #SaveOurChildren #ForGodAndCountry",PA,1227718255877541888,2020-02-12 22:18:42,False,False,,1,2207,False,,3195,True,@nightgale007,,LiaJacobsennig1,False,F5F8FA,http://pbs.twimg.com/profile_images/1227719042523418624/CaSlAl10_normal.jpg,,1319927721007501312,0,False,Twitter Web App,False,0,economy

b'Health Minister Harsh Vardhan says next three months are crucial for country in fight against COVID 19',2020-10-24 09:04:26,,en,,,250,1338,"Official Twitter account of News Kashmir 24/7 where you find comprehensive coverage & up-to-the minute News,feature stories videos","Srinagar, India",1285607736281927680,2020-07-21 16:09:30,False,False,https://www.facebook.com/kashnews24/,0,87,False,,11,True,News Kashmir 24/7,,newskashmir24,False,F5F8FA,http://pbs.twimg.com/profile_images/1305168918730821633/el7U2wE1_normal.jpg,,1319927721753858048,0,False,Twitter for iPhone,False,0,economy

b'5 Common Sense Questions We Should Be Asking About COVID 19',2020-10-24 09:04:26,,en,,,1,81,I think for myself...Critical and free thinking!,,1314525443832385538,2020-10-09 11:17:56,False,False,,0,0,False,,11,True,Rick B,,RickB72503734,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1319927722739703808,0,False,Twitter Web App,False,0,economy

b'About time House Lords Was Closed Especially Now When UK Young Citizens Will Be Paying 4 Mishandling Of CV About 10',2020-10-24 09:04:28,,en,,,9181,4290,"Legal Aid being brought back, so justice can run it true cause for all.","Halifax, England",1186926332283891712,2019-10-23 08:45:20,False,False,,1,137,False,,272,True,Dusty,,elainenoble01,True,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1319927727701491712,0,False,Twitter for Android,False,0,economy

b'Donald Trump s COVID 19 plan They could do the same thing for Trump s Obamacare replacem',2020-10-24 09:04:28,,en,,,13762,4466,,,3010752206,2015-02-06 02:42:14,False,False,,0,48,False,,96,True,barreleye,,barrel_eye,True,C0DEED,http://pbs.twimg.com/profile_images/1299241377679564800/JAZXzwgV_normal.jpg,,1319927728431419393,0,False,Twitter Web App,False,0,economy

b'What s the real COVID 19 pandemic death toll JAMA says it s higher than you think',2020-10-24 09:04:32,,en,,,6670,12068,"Chairman and Professor of Radiology. I believe that Medical Imaging is the key to improve our Healthcare.#MedicalImaging,#IA,#Radiology,#DigitalHealth",Girona,4727554899,2016-01-06 19:44:58,False,False,https://orcid.org/0000-0003-2517-4413,9,1626,False,,2527,True,Salvador Pedraza,,salvasapedraza,False,F5F8FA,http://pbs.twimg.com/profile_images/1200832876092284928/7mvW4xBT_normal.jpg,,1319927747007926272,0,False,Twitter Web App,False,0,economy

b'Global Undercarriage Components Market to Expand Downturn in Sales Anticipated amid COVID 19 Outbreak Concludes',2020-10-24 09:04:32,,en,,,367,60551,Professional news and press releases.,U.S.,26111099,2009-03-23 22:46:18,False,False,http://prsync.com,42,1533,False,,360,True,prsync.com,,prsync,False,C0DEED,http://pbs.twimg.com/profile_images/2647893207/cd83a56a1d3e4775fe5aaf53e54365e5_normal.png,,1319927748375187456,0,False,dlvr.it,False,0,economy

b'It s a fact that bartering exists in the drug world as it does in any part of the black economy b',2020-10-24 09:04:33,,en,,,33075,2731,"In Xanadu did Kubla Khan
A stately pleasure-dome decree:
Where Alph, the sacred river, ran
Through caverns measureless to man
Down to a sunless sea.",guess,396101151,2011-10-22 19:02:15,False,False,,0,82,False,,245,True,Sam Coleridge,,TheSamColeridge,False,C0DEED,http://pbs.twimg.com/profile_images/1261045178288287746/VXqeeSiJ_normal.jpg,,1319927750124253185,0,False,Twitter Web App,False,0,economy

b'Since the day you began your security meeting towers around the state I ve began to suspect somethin',2020-10-24 09:04:33,,en,,,440,298,,Nigeria,1201745864,2013-02-20 17:58:51,False,False,,0,4,False,,129,False,Feranmi,,FeranmiFeranm1,True,000000,http://pbs.twimg.com/profile_images/1243784385775775745/5PDP4kR4_normal.jpg,,1319927752020156416,0,False,Twitter for Android,False,0,economy

b'sharon The COVID restrictions are an assault on our most basic freedoms The people of Belarus a',2020-10-24 09:04:33,,en,,,144,60623,"Data Scientist. Welsh parents, studied in Scotland for years. The UK government's response to coronavirus has been the biggest overreaction in British history.",Oxford,1269773684518146052,2020-06-07 23:30:22,False,False,,10,1619,False,,672,True,Jeremy Hume,,jeremy_hume,False,F5F8FA,http://pbs.twimg.com/profile_images/1299987007750504450/GlSiVKSP_normal.jpg,,1319927752364118021,0,False,Twitter Web App,False,0,economy

