text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,label
b'ArrestKillerOfficers Police Ar',2020-10-24 09:14:35,,en,,,1629,1380,"Love for God,Myself and all of humanity(music in my veins)#TeamJaykz",All Over Nigeria & Beyond,821936186503655424,2017-01-19 04:23:52,False,False,,0,73,False,,681,True,G_BABYBOY1,,g_babyboy1,False,F5F8FA,http://pbs.twimg.com/profile_images/1041251401509294083/Jb2S4XpB_normal.jpg,,1319930277020524544,0,False,Twitter for iPhone,False,0,quarantine
b'4 Cr people in India have already been pushed into EXTREME POVERTY due to Covid 19 IMF Chief Q How does one tac',2020-10-24 09:14:37,,en,,,524,3665,"Air Veteran .
Degree in Engineering.

Trained in USSR..
Votary , Indian National Congress.","Madurai ,Tamilnadu ",725338726696628224,2016-04-27 15:00:03,False,False,,0,296,False,,528,True,kundrathu murugaraj,,kundrathumurugu,False,F5F8FA,http://pbs.twimg.com/profile_images/883334594962915328/y5dX_qWP_normal.jpg,,1319930284402327552,0,False,Twitter for Android,False,0,quarantine
b'To know Just stop listening all media Information no test thought Hand bacteria Is not harmful Just wash afte',2020-10-24 09:14:37,,en,,,29,1188,Reading   Google,,1239185217258049537,2020-03-15 13:43:23,False,False,,0,4,False,,44,True,charles. vallins,,charlesvallins8,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1319930285857763329,0,False,Twitter for iPhone,False,0,quarantine
b'Dan must go',2020-10-24 09:14:38,,en,,,38913,41664,,,1061715383483154432,2018-11-11 20:20:47,False,False,,1,900,False,,3098,True,Audreygrace,,audreygrace83,True,F5F8FA,http://pbs.twimg.com/profile_images/1218159286229946370/ioJw0Ebu_normal.jpg,,1319930287061520384,0,False,Twitter for iPhone,False,0,quarantine
b'Anything to start making money again bc travelling during the holidays WAS the busiest time As soon as y all hooke',2020-10-24 09:14:38,,en,"Place(_api=None, id='53504716d445dcad', url='https://api.twitter.com/1.1/geo/id/53504716d445dcad.json', place_type='city', name='Calgary', full_name='Calgary, Alberta', country_code='CA', country='Canada', bounding_box=BoundingBox(_api=None, type='Polygon', coordinates=[[[-114.316038, 50.84278], [-114.316038, 51.212548], [-113.859664, 51.212548], [-113.859664, 50.84278]]]), attributes={})",,13448,65336,LOADING.... a deep thinker + a devine vibe ♊️ 🇪🇷 | ALL black lives matter,Canada,28024617,2009-04-01 02:02:39,False,False,https://linktr.ee/baldgalsummer,9,906,False,,333,False,baldgal next door,,baldgalsem,True,320D38,http://pbs.twimg.com/profile_images/1315872630746931200/9WPLQeBI_normal.jpg,,1319930289037037568,0,False,Twitter for iPhone,False,0,quarantine
b'The COVID 19 Pandemic Unemployment Payment is also available to the self employed if your trading income has ceased',2020-10-24 09:14:40,,en,,,3165,4336,"#LocalEnterprise Office #Offaly is here to help anyone who is thinking of #MakingItHappen: starting a business, or already running a small business .",Offaly,91222432,2009-11-19 23:44:03,False,False,http://www.localenterprise.ie/offaly,43,2238,False,,600,False,LEO Offaly,,LEOOffaly,True,EBEBEB,http://pbs.twimg.com/profile_images/1060882746321584131/JByAWc_W_normal.jpg,,1319930297677381633,0,False,Twitter Web App,False,0,quarantine
b'Deaths per million from the COVID 19 in U S States Districts and Territories as of 20 00 EDT on October 23',2020-10-24 09:14:41,,en,,,1397,2185,永遠の五月病。歴史や古典文学に興味有り。,"Kanagawa, Japan",851052703891324932,2017-04-09 12:42:31,False,False,,0,44,False,,138,True,藤左府⚱️,,tonosafu_jp,True,F5F8FA,http://pbs.twimg.com/profile_images/1292290304146464768/onSeriFv_normal.jpg,,1319930302429491200,0,False,Twitter Web App,False,0,quarantine
b'who is the looter Does who went to take what belongs to them or those who kept it from them',2020-10-24 09:14:42,,en,,,154,200,,"Ibadan, Nigeria",625507431,2012-07-03 09:52:25,False,False,,0,9,False,,92,True,oluwasegun,,alaooluwasegun,False,C0DEED,http://pbs.twimg.com/profile_images/1316575224620515330/3Moj1KWq_normal.jpg,,1319930305139138560,0,False,Twitter for Android,False,0,quarantine
b'Nick Tsagaris POLITICS Missy Has Applied for 100 Jobs Since COVID 19 Hit She s Worried Her Search Could Become Eve',2020-10-24 09:14:42,,en,,,8662,2476,"Get connected with Nick Tsagaris through his website for motivation,  life's experience, food and travelling blogs,sports, Latest news  etc.",,724478156107706368,2016-04-25 06:00:27,False,False,http://nicktsagaris.com/,10,1813,False,,2900,False,Nick Tsagaris,,Nick_Tsagaris,True,000000,http://pbs.twimg.com/profile_images/972429437986856961/JcioJDrF_normal.jpg,,1319930306439249920,0,False,Twitter Web App,False,0,quarantine
b'Over 3 700 Cuban health workers have volunteered in 39 countries to help fight COVID 19 in 2020 I think they dese',2020-10-24 09:14:43,,en,,,23188,7284,,,3092154363,2015-03-15 21:18:34,False,False,,14,628,False,,1514,False,Maura Clement,,maura_clement,False,000000,http://pbs.twimg.com/profile_images/681600678616248320/bUcArIRK_normal.jpg,,1319930308653948928,0,False,Twitter for iPhone,False,0,quarantine
